frame_id,wall_start,relative_start_s,relative_end_s,duration_ms,idle_before_ms,baudrate,byte_count,class,confidence,hex,ascii
50,2026-05-20T12:05:43,27.549893000,27.549893000,0.000000,2.131100,9600,1,tiny_reply_or_noise,0.350,86,.
51,2026-05-20T12:05:43,27.550958200,27.550958200,0.000000,1.065200,9600,1,tiny_reply_or_noise,0.350,06,.
52,2026-05-20T12:05:43,27.551772900,27.551772900,0.000000,0.814700,9600,1,tiny_reply_or_noise,0.350,7E,~
53,2026-05-20T12:05:43,27.554038200,27.554038200,0.000000,2.265300,9600,1,tiny_reply_or_noise,0.350,7E,~
54,2026-05-20T12:05:43,27.554948600,27.554948600,0.000000,0.910400,9600,1,tiny_reply_or_noise,0.350,06,.
55,2026-05-20T12:05:43,27.555797600,27.555797600,0.000000,0.849000,9600,1,tiny_reply_or_noise,0.350,9E,.
56,2026-05-20T12:05:43,27.556529700,27.556529700,0.000000,0.732100,9600,1,tiny_reply_or_noise,0.350,98,.
57,2026-05-20T12:05:43,27.557148800,27.557148800,0.000000,0.619100,9600,1,tiny_reply_or_noise,0.350,1E,.
58,2026-05-20T12:05:43,27.558127900,27.558127900,0.000000,0.979100,9600,1,tiny_reply_or_noise,0.350,86,.
59,2026-05-20T12:05:43,27.558637800,27.558637800,0.000000,0.509900,9600,1,tiny_reply_or_noise,0.350,06,.
60,2026-05-20T12:05:43,27.559217000,27.559217000,0.000000,0.579200,9600,1,tiny_reply_or_noise,0.350,00,.
61,2026-05-20T12:05:43,27.562508600,27.562508600,0.000000,3.291600,9600,1,tiny_reply_or_noise,0.350,00,.
62,2026-05-20T12:05:43,27.564676800,27.564676800,0.000000,2.168200,9600,1,tiny_reply_or_noise,0.350,E0,.
63,2026-05-20T12:05:43,27.566270100,27.566270100,0.000000,1.593300,9600,1,tiny_reply_or_noise,0.350,9E,.
64,2026-05-20T12:05:43,27.568805200,27.568805200,0.000000,2.535100,9600,1,tiny_reply_or_noise,0.350,86,.
65,2026-05-20T12:05:43,27.570068500,27.570068500,0.000000,1.263300,9600,1,tiny_reply_or_noise,0.350,7E,~
66,2026-05-20T12:05:43,27.572156800,27.572156800,0.000000,2.088300,9600,1,tiny_reply_or_noise,0.350,9E,.
67,2026-05-20T12:05:43,27.573092400,27.573092400,0.000000,0.935600,9600,1,tiny_reply_or_noise,0.350,60,`
68,2026-05-20T12:05:43,27.577127200,27.577127200,0.000000,4.034800,9600,1,tiny_reply_or_noise,0.350,FE,.
69,2026-05-20T12:05:43,27.578786500,27.578786500,0.000000,1.659300,9600,1,tiny_reply_or_noise,0.350,86,.
70,2026-05-20T12:05:43,27.579650900,27.579650900,0.000000,0.864400,9600,1,tiny_reply_or_noise,0.350,06,.
71,2026-05-20T12:05:43,27.580249500,27.580249500,0.000000,0.598600,9600,1,tiny_reply_or_noise,0.350,7E,~
72,2026-05-20T12:05:43,27.583299000,27.583299000,0.000000,3.049500,9600,1,tiny_reply_or_noise,0.350,7E,~
73,2026-05-20T12:05:43,27.584108000,27.584108000,0.000000,0.809000,9600,1,tiny_reply_or_noise,0.350,06,.
74,2026-05-20T12:05:43,27.585755900,27.585755900,0.000000,1.647900,9600,1,tiny_reply_or_noise,0.350,9E,.
75,2026-05-20T12:05:43,27.586476300,27.586476300,0.000000,0.720400,9600,1,tiny_reply_or_noise,0.350,98,.
76,2026-05-20T12:05:43,27.587203200,27.587203200,0.000000,0.726900,9600,1,tiny_reply_or_noise,0.350,60,`
77,2026-05-20T12:05:43,27.588139700,27.588139700,0.000000,0.936500,9600,1,tiny_reply_or_noise,0.350,06,.
78,2026-05-20T12:05:43,27.589004400,27.589004400,0.000000,0.864700,9600,1,tiny_reply_or_noise,0.350,60,`
79,2026-05-20T12:05:43,27.592273400,27.592273400,0.000000,3.269000,9600,1,tiny_reply_or_noise,0.350,06,.
80,2026-05-20T12:05:43,27.596472100,27.596472100,0.000000,4.198700,9600,1,tiny_reply_or_noise,0.350,FE,.
81,2026-05-20T12:05:43,27.597241600,27.597241600,0.000000,0.769500,9600,1,tiny_reply_or_noise,0.350,9E,.
82,2026-05-20T12:05:43,27.598949000,27.598949000,0.000000,1.707400,9600,1,tiny_reply_or_noise,0.350,86,.
83,2026-05-20T12:05:43,27.599557500,27.599557500,0.000000,0.608500,9600,1,tiny_reply_or_noise,0.350,7E,~
84,2026-05-20T12:05:43,27.602266300,27.602266300,0.000000,2.708800,9600,1,tiny_reply_or_noise,0.350,9E,.
85,2026-05-20T12:05:43,27.603178700,27.603178700,0.000000,0.912400,9600,1,tiny_reply_or_noise,0.350,60,`
86,2026-05-20T12:05:43,27.607279100,27.607279100,0.000000,4.100400,9600,1,tiny_reply_or_noise,0.350,FE,.
87,2026-05-20T12:05:43,27.608026000,27.608026000,0.000000,0.746900,9600,1,tiny_reply_or_noise,0.350,86,.
88,2026-05-20T12:05:43,27.608790200,27.608790200,0.000000,0.764200,9600,1,tiny_reply_or_noise,0.350,06,.
89,2026-05-20T12:05:43,27.609574300,27.609574300,0.000000,0.784100,9600,1,tiny_reply_or_noise,0.350,7E,~
90,2026-05-20T12:05:43,27.612478600,27.612478600,0.000000,2.904300,9600,1,tiny_reply_or_noise,0.350,7E,~
91,2026-05-20T12:05:43,27.613662600,27.613662600,0.000000,1.184000,9600,1,tiny_reply_or_noise,0.350,06,.
92,2026-05-20T12:05:43,27.614489200,27.614489200,0.000000,0.826600,9600,1,tiny_reply_or_noise,0.350,9E,.
93,2026-05-20T12:05:43,27.615176700,27.615176700,0.000000,0.687500,9600,1,tiny_reply_or_noise,0.350,98,.
94,2026-05-20T12:05:43,27.617757600,27.617757600,0.000000,2.580900,9600,1,tiny_reply_or_noise,0.350,E0,.
95,2026-05-20T12:05:43,27.618356100,27.618356100,0.000000,0.598500,9600,1,tiny_reply_or_noise,0.350,E6,.
96,2026-05-20T12:05:43,27.619109100,27.619109100,0.000000,0.753000,9600,1,tiny_reply_or_noise,0.350,06,.
97,2026-05-20T12:05:43,27.620149400,27.620149400,0.000000,1.040300,9600,1,tiny_reply_or_noise,0.350,00,.
98,2026-05-20T12:05:43,27.623172300,27.623172300,0.000000,3.022900,9600,1,tiny_reply_or_noise,0.350,03,.
99,2026-05-20T12:05:43,27.625716200,27.625716200,0.000000,2.543900,9600,1,tiny_reply_or_noise,0.350,98,.
100,2026-05-20T12:05:43,27.627331500,27.627331500,0.000000,1.615300,9600,1,tiny_reply_or_noise,0.350,9E,.
101,2026-05-20T12:05:43,27.629820800,27.629820800,0.000000,2.489300,9600,1,tiny_reply_or_noise,0.350,86,.
102,2026-05-20T12:05:43,27.630521000,27.630521000,0.000000,0.700200,9600,1,tiny_reply_or_noise,0.350,7E,~
